Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
Acorn squash,Fresh,1.2136,per pound,0.4586,0.4519,pounds,1.1961,Apples,Fresh,1.8541,per pound,0.9,0.2425,pounds,0.4996
Artichoke,Fresh,2.4703,per pound,0.375,0.3858,pounds,2.5415,"Apples, applesauce",Canned,1.1705,per pound,1,0.5401,pounds,0.6323
Artichoke,Canned,3.4498,per pound,0.65,0.3858,pounds,2.0476,"Apples, ready-to-drink",Juice,0.8699,per pint,1,8,fluid ounces,0.4349
Asparagus,Fresh,2.9531,per pound,0.4938,0.3968,pounds,2.3731,"Apples, frozen concentrate",Juice,0.6086,per pint,1,8,fluid ounces,0.3043
Asparagus,Canned,3.4328,per pound,0.65,0.3968,pounds,2.0958,Apricots,Fresh,3.6162,per pound,0.93,0.3638,pounds,1.4145
Asparagus,Frozen,6.8212,per pound,1.0335,0.3968,pounds,2.6191,"Apricots, packed in juice",Canned,1.8645,per pound,1,0.5401,pounds,1.0071
Avocados,Fresh,2.6737,per pound,0.7408,0.3197,pounds,1.1538,"Apricots, packed in syrup or water",Canned,2.2362,per pound,0.65,0.4409,pounds,1.5169
Beets,Canned,1.1431,per pound,0.65,0.3748,pounds,0.6591,Apricots,Dried,7.6611,per pound,1,0.1433,pounds,1.0978
Black beans,Canned,1.2387,per pound,0.65,0.3858,pounds,0.7352,Bananas,Fresh,0.5971,per pound,0.64,0.3307,pounds,0.3085
Black beans,Dried,1.525,per pound,2.4692,0.3858,pounds,0.2383,"Berries, mixed",Frozen,4.2673,per pound,1,0.3307,pounds,1.4112
Blackeye peas,Canned,1.3164,per pound,0.65,0.3748,pounds,0.759,Blackberries,Fresh,6.7483,per pound,0.96,0.3197,pounds,2.2471
Blackeye peas,Dried,1.9265,per pound,2.5397,0.3858,pounds,0.2926,Blackberries,Frozen,4.8277,per pound,1,0.3307,pounds,1.5965
Broccoli florets,Fresh,2.9162,per pound,1,0.3417,pounds,0.9965,Blueberries,Fresh,4.1575,per pound,0.95,0.3197,pounds,1.399
Broccoli heads,Fresh,3.082,per pound,0.78,0.3417,pounds,1.3502,Blueberries,Frozen,3.821,per pound,1,0.3307,pounds,1.2636
Broccoli,Frozen,2.3458,per pound,0.8818,0.3417,pounds,0.909,Cantaloupe,Fresh,0.7523,per pound,0.51,0.3748,pounds,0.5528
Brussels sprouts,Fresh,2.9139,per pound,1.06,0.3417,pounds,0.9394,Cherries,Fresh,4.6632,per pound,0.92,0.3417,pounds,1.7321
Brussels sprouts,Frozen,2.5949,per pound,0.96,0.3417,pounds,0.9237,"Cherries, packed in syrup or water",Canned,5.2418,per pound,0.65,0.4409,pounds,3.5558
Butternut squash,Fresh,1.2691,per pound,0.714,0.4519,pounds,0.8033,Clementines,Fresh,1.5811,per pound,0.77,0.463,pounds,0.9507
"Cabbage, green",Fresh,0.797,per pound,0.7788,0.3307,pounds,0.3384,Cranberries,Dried,5.0828,per pound,1,0.1232,pounds,0.626
"Cabbage, red",Fresh,1.2604,per pound,0.7791,0.3307,pounds,0.535,Dates,Dried,5.7499,per pound,1,0.1653,pounds,0.9507
"Cabbage, sauerkraut",Canned,1.478,per pound,0.65,0.3086,pounds,0.7018,Figs,Dried,7.3233,per pound,0.96,0.1653,pounds,1.2613
"Carrots, cooked whole",Fresh,0.9761,per pound,0.8158,0.3197,pounds,0.3825,"Fruit cocktail, packed in juice",Canned,2.394,per pound,1,0.5401,pounds,1.2931
"Carrots, raw whole",Fresh,0.9761,per pound,0.89,0.2756,pounds,0.3022,"Fruit cocktail, packed in syrup or water",Canned,2.0996,per pound,0.65,0.4409,pounds,1.4242
"Carrots, baby",Fresh,1.3507,per pound,1,0.2756,pounds,0.3722,Grapefruit,Fresh,1.4444,per pound,0.49,0.463,pounds,1.3647
Carrots,Canned,1.1979,per pound,0.65,0.3197,pounds,0.5892,"Grapefruit, ready-to-drink",Juice,1.1935,per pint,1,8,fluid ounces,0.5968
Carrots,Frozen,1.7277,per pound,0.98,0.3197,pounds,0.5636,Grapes,Fresh,2.0363,per pound,0.96,0.3307,pounds,0.7014
Cauliflower florets,Fresh,3.8022,per pound,0.9702,0.2756,pounds,1.08,Grapes (raisins),Dried,3.9936,per pound,1,0.1653,pounds,0.6603
Cauliflower heads,Fresh,2.1841,per pound,0.8926,0.2756,pounds,0.6743,"Grapes, ready-to-drink",Juice,1.0509,per pint,1,8,fluid ounces,0.5255
Cauliflower,Frozen,2.3974,per pound,0.9304,0.2756,pounds,0.7101,"Grapes, frozen concentrate",Juice,0.7524,per pint,1,8,fluid ounces,0.3762
"Celery, trimmed bunches",Fresh,1.1637,per pound,0.73,0.2646,pounds,0.4217,Honeydew,Fresh,1.1589,per pound,0.46,0.3748,pounds,0.9442
Celery sticks,Fresh,2.4941,per pound,1,0.2646,pounds,0.6598,Kiwi,Fresh,2.6064,per pound,0.76,0.3858,pounds,1.3231
Collard greens,Fresh,3.0881,per pound,1.16,0.2866,pounds,0.763,Mangoes,Fresh,1.4698,per pound,0.71,0.3638,pounds,0.7531
Collard greens,Canned,1.3315,per pound,0.65,0.3638,pounds,0.7452,Mangoes,Dried,10.3035,per pound,1,0.1253,pounds,1.2906
Collard greens,Frozen,2.3512,per pound,0.8818,0.3638,pounds,0.9699,Nectarines,Fresh,2.3721,per pound,0.91,0.3197,pounds,0.8333
Corn,Fresh,2.2281,per pound,0.54,0.3638,pounds,1.5009,Oranges,Fresh,1.4624,per pound,0.68,0.4079,pounds,0.8771
Corn,Canned,1.1543,per pound,0.65,0.3638,pounds,0.646,"Oranges, ready-to-drink",Juice,1.0572,per pint,1,8,fluid ounces,0.5286
Corn,Frozen,1.6889,per pound,0.963,0.3638,pounds,0.638,"Oranges, frozen concentrate",Juice,0.7338,per pint,1,8,fluid ounces,0.3669
